                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.2493,                 2.3215,                 1.5777,                0.52011,                0.25806,                0.29574,                 0.0979,                 2.3695,                 2.5678,                 1.6667,               0.008284,               0.008284,               0.008284
                     55,                  2.216,                 2.2521,                 1.5685,                0.63891,                0.28387,                0.31279,                0.09914,                 2.2644,                 2.3566,                 1.5844,               0.008251,               0.008251,               0.008251
                     56,                 2.2826,                 2.2639,                 1.6372,                0.47905,                0.29032,                0.28908,                0.10446,                  2.286,                 2.6097,                 1.6082,               0.008218,               0.008218,               0.008218
                     57,                  2.331,                  2.351,                 1.6009,                0.50069,                0.28387,                0.31835,                0.10767,                 2.2801,                 2.3725,                   1.61,               0.008185,               0.008185,               0.008185
                     58,                 2.2666,                 2.2333,                 1.5979,                0.51302,                0.28547,                0.30509,                0.09931,                 2.2875,                  2.674,                 1.6401,               0.008152,               0.008152,               0.008152
                     59,                 2.1962,                 2.1713,                 1.5595,                0.48191,                0.29032,                0.27706,                0.09189,                 2.3599,                 2.8884,                 1.6583,               0.008119,               0.008119,               0.008119
                     60,                 2.2461,                 2.2103,                 1.5711,                 0.4772,                0.29677,                0.26636,                0.08584,                 2.3289,                 2.7813,                 1.6302,               0.008086,               0.008086,               0.008086
                     61,                 2.1831,                 2.2253,                 1.5644,                 0.6903,                0.25806,                0.31784,                0.11513,                 2.1992,                 2.4969,                 1.5781,               0.008053,               0.008053,               0.008053
                     62,                 2.1595,                 2.1989,                 1.5434,                0.47435,                0.32605,                0.31032,                0.11613,                 2.1938,                 2.6733,                 1.5654,                0.00802,                0.00802,                0.00802
                     63,                 2.2195,                 2.1799,                 1.5501,                0.54099,                0.32903,                0.33975,                0.12212,                 2.1522,                 2.5684,                 1.5261,               0.007987,               0.007987,               0.007987
